Timestamp,SourceIPAddress,DestinationIPAddress,SourcePort,DestinationPort,Protocol,PacketSize,Traffic Category,App Service,Duration,ConnectionAttempts
1696769064,482893257,1973598781,45827,61012,UDP,473,Email,SMTP,457,1
1700112680,3251749112,79254433,56113,33357,TCP,165,Video,HTTP,1495,10
1681650836,249360740,2462214656,46460,24491,UDP,108,Other,Other,1206,7
1693172851,2537578181,3409275862,46175,62895,UDP,510,Other,Other,1951,4
1686802701,84256555,2033545030,59356,56124,UDP,987,File Transfer,FTP,2495,3
1685621335,196249153,176535234,40934,64300,UDP,308,VoIP,DNS,1993,10
1702210829,3627426075,1078174147,52692,23453,UDP,1026,Other,SMTP,3445,1
1678245844,1796830196,1292801716,14216,1041,TCP,1284,Other,SMTP,2171,1
1679027288,2829825805,2591879561,49796,29118,TCP,469,Other,FTP,393,1
1688574811,2809104631,4264864835,32922,18720,TCP,1391,VoIP,SMTP,1154,6
1675041953,864319207,3175680295,1489,58836,ICMP,178,Email,SSH,2560,1
1688589840,462561946,1307134424,10817,3790,ICMP,630,VoIP,DNS,2022,10
1683130820,4279796563,1676705741,59545,6263,UDP,145,Web,DNS,2860,1
1693211621,2117358654,65820180,26879,44349,ICMP,975,VoIP,SSH,2025,3
1692263076,3134463487,3349260102,50624,20845,TCP,1387,Other,DNS,941,10
1686038141,480483385,3000250183,36849,62197,ICMP,837,VoIP,HTTP,944,7
1702471067,1643617485,3891687440,2857,41971,UDP,640,Video,Other,2954,10
1703500402,3776325473,1846838767,44110,47672,ICMP,946,Email,HTTP,159,9
1687255513,1821589129,395947403,48367,12073,UDP,484,Web,DNS,450,9
1697895136,47387721,1424885270,56146,60339,ICMP,523,Email,SMTP,1830,9
1680505791,854638516,1438137662,31360,54916,TCP,231,File Transfer,HTTP,1071,9
1680486316,2771268176,1283790295,17005,29789,TCP,1314,Email,Other,2837,9
1701201363,2534257343,2984593974,26945,42957,ICMP,778,Other,HTTP,2171,1
1699957198,789213604,2538924552,5276,50924,TCP,221,File Transfer,DNS,2205,1
1681475624,3856984886,1134191168,24515,51050,ICMP,624,Video,DNS,1558,2
1694004081,3316781560,1162609227,5639,14623,TCP,945,Email,FTP,2921,6
1687872774,2158432359,624976191,51340,63287,UDP,921,File Transfer,Other,225,2
1687414744,4057256839,2459566439,36920,7222,UDP,534,Video,SMTP,569,3
1698920087,48968692,2109001325,19326,31013,TCP,1408,Web,Other,3202,3
1687318889,3332675792,1506610147,25391,39028,UDP,244,Video,SSH,3254,10
1686639754,2632012824,2681237787,20766,61143,TCP,984,Video,HTTP,314,1
1686924255,1730124471,2477436618,30229,19779,ICMP,624,VoIP,DNS,2891,8
1675447698,69171162,4022575328,19069,56797,UDP,460,VoIP,DNS,2147,2
1676414869,1493112297,1305377094,63342,8083,UDP,1047,Email,SSH,125,1
1684425427,2963911305,88187299,18293,52405,UDP,681,Other,HTTP,2686,6
1680645585,1615373377,2950285568,50434,47822,TCP,418,Email,HTTP,570,4
1675940774,1823772902,1857919501,51147,57591,TCP,920,Other,FTP,3262,2
1701984593,3940605114,2913172483,55147,33594,ICMP,485,Other,SMTP,559,7
1673311965,3089653911,243409680,31518,56282,TCP,702,Email,SMTP,2402,6
1694901448,1740819335,2692516617,45,8485,TCP,885,Email,SSH,330,10
1695346303,4293107079,2033571983,11101,32844,TCP,516,Web,HTTP,737,10
1692094859,489891126,4174811540,649,45056,TCP,328,Video,FTP,1572,2
1676564060,3598478862,2458658758,6153,62519,UDP,583,File Transfer,SSH,103,6
1678929991,957668033,1780418796,3907,27662,UDP,926,Email,HTTP,3044,5
1682746370,2281676729,2744559740,31190,56559,ICMP,1399,Email,HTTP,965,10
1679246785,2744617517,2818491055,26607,30518,ICMP,284,VoIP,HTTP,89,6
1688285022,3176148885,2431034342,7182,40667,UDP,1114,Email,HTTP,838,5
1685611770,2371532464,2839587817,57280,29287,TCP,1039,VoIP,SMTP,2038,9
1689379698,3925785134,3090991315,6280,62728,TCP,1332,Other,HTTP,1671,3
1682282772,2069486599,11042487,25658,35265,UDP,1335,Video,SMTP,1444,9
1675186514,3656766887,724735568,28790,57302,TCP,214,File Transfer,FTP,2701,4
1701981683,2175505656,1428919709,28028,30245,UDP,1131,Video,SMTP,332,2
1693632438,1775405378,3046519067,38849,42280,ICMP,687,Email,FTP,924,3
1702692718,1869517248,3347074968,10323,2224,UDP,125,Email,HTTP,2993,8
1695099425,2763524706,827490674,52643,10808,UDP,449,Video,Other,1516,1
1678045557,3965814159,89743745,4856,45520,ICMP,460,Email,SMTP,1592,6
1679327438,1205396213,536363874,36004,50629,UDP,1428,Video,DNS,825,3
1674794703,2837534136,293327994,10136,50445,ICMP,321,VoIP,HTTP,359,8
1687980567,1715564051,4033118139,34111,46541,UDP,806,Web,DNS,1480,4
1678664858,1813767924,3433729599,34961,54492,ICMP,1079,Video,Other,1197,1
1703383577,1177594907,2527267706,52945,64612,ICMP,1187,Video,Other,3538,3
1683506830,3602618288,779636735,52777,38753,UDP,1211,Email,SMTP,2384,2
1696747037,1759048313,2330163211,60967,30488,UDP,671,File Transfer,DNS,3227,7
1695838129,1307143424,279816847,46095,7323,UDP,71,VoIP,SSH,2191,8
1675753035,2146424702,4182288646,17426,57714,UDP,722,Email,FTP,1003,2
1689084784,337720014,3023539533,26200,52903,TCP,1264,Web,SMTP,1442,1
1699919956,1846774667,168341233,6342,35725,UDP,589,Video,SMTP,259,9
1688272884,791249283,3050774214,42956,47900,ICMP,254,Web,DNS,1765,6
1701733497,3355374574,2491241367,19747,59817,UDP,67,VoIP,FTP,2591,5
1676316647,4078756074,133008632,28811,6199,ICMP,1446,Email,SMTP,355,10
1680407613,2797108241,2808443650,35544,28929,TCP,189,Other,SSH,2791,3
1699401332,3891193848,1256055852,32618,15582,ICMP,1061,Other,SMTP,596,9
1691262858,841406475,652244348,39014,43626,ICMP,440,Other,HTTP,3387,9
1695312929,1533191193,1969794178,31580,10852,ICMP,917,Video,DNS,1625,7
1682718669,3119054190,1349596028,37450,7065,TCP,1021,Other,DNS,2862,6
1696683837,2079088970,1129908014,7771,56003,UDP,1015,File Transfer,DNS,529,2
1683598048,3550876800,3946809361,26427,60197,ICMP,966,VoIP,SMTP,2390,2
1678549346,2026791781,3268213025,30377,52674,ICMP,299,Web,Other,634,3
1689092217,1542628628,3576543397,43926,28702,ICMP,547,File Transfer,Other,2705,3
1690957648,256772732,3872113411,46075,20603,ICMP,790,Web,HTTP,285,4
1684348534,4097705663,1880367850,10577,19462,ICMP,484,Web,HTTP,2931,10
1687729932,2703510561,1292392238,56611,52852,ICMP,235,Video,FTP,3217,9
1696976861,3146753779,1813380636,19095,55532,UDP,1281,VoIP,HTTP,3535,2
1692210059,3639878523,3822891787,43113,61175,ICMP,739,Other,DNS,889,10
1700127990,3610933503,2977323611,63508,196,ICMP,98,File Transfer,FTP,247,1
1697395791,1054028692,571606747,65266,22452,ICMP,1402,Video,HTTP,92,6
1677006892,2891315813,1563597926,9767,23966,ICMP,1350,VoIP,Other,1764,7
1677395857,2787232708,2126044246,3015,62418,ICMP,114,Other,HTTP,155,5
1684851818,2526774400,2032766988,2845,58224,UDP,340,Email,SSH,2718,7
